cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
1,18,1,14,1
2,18,2,8,3
3,18,3,9,2
4,18,4,5,4
5,18,5,2,5
6,18,6,1,6
7,19,1,24,1
8,19,2,19,2
9,19,3,9,4
10,19,4,6,5
11,19,5,2,8
12,19,6,11,3
13,19,7,5,6
14,19,9,2,7
15,19,11,0,9
16,19,10,0,10
17,19,8,0,11
18,20,1,28,3
19,20,2,30,1
20,20,3,10,4
21,20,4,6,6
22,20,5,2,8
23,20,6,29,2
24,20,7,8,5
25,20,9,4,7
26,20,11,0,9
27,20,10,0,10
28,20,8,0,11
29,21,1,34,3
30,21,2,35,2
31,21,3,12,4
32,21,4,6,7
33,21,5,2,9
34,21,6,47,1
35,21,7,9,5
36,21,9,8,6
37,21,11,3,8
38,21,10,0,10
39,21,8,0,11
40,22,1,42,3
41,22,2,44,2
42,22,3,13,4
43,22,4,9,7
44,22,5,2,9
45,22,6,63,1
46,22,7,9,6
47,22,9,10,5
48,22,11,3,8
49,22,10,0,10
50,22,8,0,11
51,23,1,53,2
52,23,2,52,3
53,23,3,15,4
54,23,4,9,7
55,23,5,6,8
56,23,6,69,1
57,23,7,9,6
58,23,9,15,5
59,23,11,6,9
60,23,10,0,10
61,23,8,0,11
62,24,1,53,3
63,24,2,70,2
64,24,3,15,6
65,24,4,9,7
66,24,5,7,9
67,24,6,73,1
68,24,7,17,5
69,24,9,21,4
70,24,11,8,8
71,24,10,0,10
72,24,8,0,11
73,25,1,58,3
74,25,2,74,2
75,25,3,15,6
76,25,4,12,7
77,25,5,7,9
78,25,6,91,1
79,25,7,23,5
80,25,9,24,4
81,25,11,8,8
82,25,10,0,10
83,25,8,0,11
84,26,1,72,3
85,26,2,82,2
86,26,3,16,6
87,26,4,15,7
88,26,5,7,9
89,26,6,96,1
90,26,7,25,4
91,26,9,24,5
92,26,11,14,8
93,26,10,0,10
94,26,8,0,11
95,27,1,86,3
96,27,2,89,2
97,27,3,16,7
98,27,4,23,6
99,27,5,8,9
100,27,6,105,1
101,27,7,25,4
102,27,9,24,5
103,27,11,14,8
104,27,10,0,10
105,27,8,0,11
106,28,1,100,2
107,28,2,90,3
108,28,3,16,7
109,28,4,31,5
110,28,5,8,9
111,28,6,111,1
112,28,7,35,4
113,28,9,24,6
114,28,11,14,8
115,28,10,0,10
116,28,8,0,11
