driver_standings_ID,race_ID,driver_ID,cumul_points,cumul_position
1,18,1,10,1
2,18,2,8,2
3,18,3,6,3
4,18,4,5,4
5,18,5,4,5
6,18,6,3,6
7,18,7,2,7
8,18,8,1,8
9,19,1,14,1
10,19,2,11,3
11,19,3,6,6
12,19,4,6,7
13,19,5,10,4
14,19,6,3,9
15,19,7,2,10
16,19,8,11,2
17,19,9,8,5
18,19,15,5,8
19,19,17,2,11
20,19,14,0,12
21,19,18,0,13
22,19,12,0,14
23,19,21,0,15
24,19,22,0,16
25,19,19,0,17
26,19,11,0,18
27,20,1,14,3
28,20,2,16,2
29,20,3,7,8
30,20,4,6,9
31,20,5,14,5
32,20,6,3,11
33,20,7,2,12
34,20,8,19,1
35,20,9,14,4
36,20,15,8,7
37,20,17,4,10
38,20,14,0,13
39,20,18,0,15
40,20,12,0,17
41,20,21,0,18
42,20,22,0,16
43,20,19,0,19
44,20,11,0,20
45,20,13,10,6
46,20,10,0,14
47,20,16,0,21
48,21,1,20,2
49,21,2,16,5
50,21,3,7,9
51,21,4,6,10
52,21,5,14,6
53,21,6,5,11
54,21,7,2,13
55,21,8,29,1
56,21,9,19,3
57,21,15,9,7
58,21,17,8,8
59,21,14,0,15
60,21,18,3,12
61,21,12,0,18
62,21,21,0,16
63,21,22,0,17
64,21,19,0,20
65,21,11,0,19
66,21,13,18,4
67,21,10,0,14
68,21,16,0,21
69,22,1,28,3
70,22,2,20,5
71,22,3,8,10
72,22,4,9,8
73,22,5,14,6
74,22,6,5,11
75,22,7,2,13
76,22,8,35,1
77,22,9,24,4
78,22,15,9,9
79,22,17,10,7
80,22,14,0,14
81,22,18,3,12
82,22,12,0,18
83,22,21,0,16
84,22,22,0,17
85,22,19,0,20
86,22,11,0,19
87,22,13,28,2
88,22,10,0,15
89,22,16,0,21
90,22,20,0,22
91,23,1,38,1
92,23,2,20,5
93,23,3,8,10
94,23,4,9,8
95,23,5,15,6
96,23,6,7,11
97,23,7,2,15
98,23,8,35,2
99,23,9,32,4
100,23,15,9,9
101,23,17,15,7
102,23,14,0,16
103,23,18,3,13
104,23,12,0,19
105,23,21,0,18
106,23,22,3,14
107,23,19,0,21
108,23,11,0,20
109,23,13,34,3
110,23,10,0,17
111,23,16,0,22
112,23,20,4,12
113,24,1,38,2
114,24,2,28,5
115,24,3,8,10
116,24,4,9,9
117,24,5,15,6
118,24,6,7,11
119,24,7,2,17
120,24,8,35,4
121,24,9,42,1
122,24,15,12,8
123,24,17,15,7
124,24,14,6,12
125,24,18,3,16
126,24,12,0,19
127,24,21,0,18
128,24,22,5,15
129,24,19,0,21
130,24,11,0,20
131,24,13,38,3
132,24,10,5,13
133,24,16,0,22
134,24,20,5,14
135,25,1,38,4
136,25,2,28,5
137,25,3,8,10
138,25,4,10,9
139,25,5,20,6
140,25,6,7,11
141,25,7,2,18
142,25,8,43,3
143,25,9,46,2
144,25,15,18,7
145,25,17,18,8
146,25,14,6,12
147,25,18,3,16
148,25,12,2,17
149,25,21,0,19
150,25,22,5,15
151,25,19,0,21
152,25,11,0,20
153,25,13,48,1
154,25,10,5,13
155,25,16,0,22
156,25,20,5,14
157,26,1,48,1
158,26,2,36,5
159,26,3,8,11
160,26,4,13,9
161,26,5,24,6
162,26,6,8,12
163,26,7,2,17
164,26,8,48,3
165,26,9,46,4
166,26,15,20,7
167,26,17,18,8
168,26,14,6,13
169,26,18,3,16
170,26,12,2,18
171,26,21,0,19
172,26,22,11,10
173,26,19,0,21
174,26,11,0,20
175,26,13,48,2
176,26,10,5,14
177,26,16,0,22
178,26,20,5,15
179,27,1,58,1
180,27,2,41,5
181,27,3,8,12
182,27,4,13,9
183,27,5,28,6
184,27,6,8,13
185,27,7,2,18
186,27,8,51,3
187,27,9,48,4
188,27,15,20,7
189,27,17,18,8
190,27,14,6,14
191,27,18,3,17
192,27,12,10,11
193,27,21,0,19
194,27,22,11,10
195,27,19,0,22
196,27,11,0,20
197,27,13,54,2
198,27,10,5,16
199,27,16,0,21
200,27,20,6,15
201,28,1,62,1
202,28,2,41,5
203,28,3,8,13
204,28,4,18,8
205,28,5,38,6
206,28,6,8,14
207,28,7,2,18
208,28,8,57,2
209,28,9,49,4
210,28,15,22,7
211,28,17,18,9
212,28,14,6,15
213,28,18,3,17
214,28,12,13,11
215,28,21,0,19
216,28,22,11,12
217,28,19,0,22
218,28,11,0,20
219,28,13,54,3
220,28,10,13,10
221,28,16,0,21
222,28,20,6,16
223,29,1,70,1
224,29,2,41,6
225,29,3,9,13
226,29,4,18,8
227,29,5,43,5
228,29,6,8,15
229,29,7,2,18
230,29,8,57,3
231,29,9,55,4
232,29,15,26,7
233,29,17,18,9
234,29,14,6,16
235,29,18,3,17
236,29,12,13,11
237,29,21,0,19
238,29,22,11,12
239,29,19,0,22
240,29,11,0,20
241,29,13,64,2
242,29,10,15,10
243,29,16,0,21
244,29,20,9,14
245,30,1,76,1
246,30,2,49,5
247,30,3,9,14
248,30,4,23,8
249,30,5,43,6
250,30,6,8,15
251,30,7,4,17
252,30,8,57,4
253,30,9,58,3
254,30,15,26,7
255,30,17,19,9
256,30,14,6,16
257,30,18,3,18
258,30,12,13,11
259,30,21,0,19
260,30,22,11,13
261,30,19,0,22
262,30,11,0,21
263,30,13,74,2
264,30,10,15,10
265,30,16,0,20
266,30,20,13,12
267,31,1,78,1
268,31,2,53,5
269,31,3,9,14
270,31,4,28,7
271,31,5,51,6
272,31,6,8,15
273,31,7,4,17
274,31,8,57,4
275,31,9,64,3
276,31,15,26,8
277,31,17,20,10
278,31,14,6,16
279,31,18,3,18
280,31,12,13,12
281,31,21,0,19
282,31,22,11,13
283,31,19,0,22
284,31,11,0,21
285,31,13,77,2
286,31,10,15,11
287,31,16,0,20
288,31,20,23,9
289,32,1,84,1
290,32,2,56,5
291,32,3,17,12
292,32,4,38,7
293,32,5,51,6
294,32,6,9,15
295,32,7,4,17
296,32,8,57,4
297,32,9,64,3
298,32,15,26,9
299,32,17,20,11
300,32,14,8,16
301,32,18,3,18
302,32,12,13,13
303,32,21,0,19
304,32,22,11,14
305,32,19,0,22
306,32,11,0,21
307,32,13,77,2
308,32,10,20,10
309,32,16,0,20
310,32,20,27,8
311,33,1,84,1
312,33,2,56,5
313,33,3,17,13
314,33,4,48,7
315,33,5,51,6
316,33,6,9,15
317,33,7,4,17
318,33,8,63,4
319,33,9,72,3
320,33,15,30,9
321,33,17,21,10
322,33,14,8,16
323,33,18,3,18
324,33,12,18,12
325,33,21,0,19
326,33,22,11,14
327,33,19,0,22
328,33,11,0,21
329,33,13,79,2
330,33,10,20,11
331,33,16,0,20
332,33,20,30,8
355,35,1,98,1
356,35,2,60,6
357,35,3,17,13
358,35,4,61,5
359,35,5,53,7
360,35,6,9,15
361,35,7,4,17
362,35,8,75,3
363,35,9,75,4
364,35,15,31,9
365,35,17,21,11
366,35,14,8,16
367,35,18,3,18
368,35,12,19,12
369,35,21,0,19
370,35,22,11,14
371,35,19,0,22
372,35,11,0,21
373,35,13,97,2
374,35,10,25,10
375,35,16,0,20
376,35,20,35,8
3077,158,30,10,1
3078,158,22,6,2
3079,158,23,4,3
3080,158,35,3,4
3081,158,21,2,5
3082,158,41,1,6
3083,158,25,0,7
3084,158,48,0,8
3085,158,2,0,9
3086,159,30,20,1
3087,159,22,6,3
3088,159,23,6,4
3089,159,35,3,7
3090,159,21,8,2
3091,159,41,1,8
3092,159,25,0,11
3093,159,48,0,13
3094,159,2,0,14
3095,159,49,4,5
3096,159,15,3,6
3097,159,18,1,9
3098,159,50,0,10
3099,159,37,0,12
3100,159,60,0,15
3101,160,30,30,1
3102,160,22,9,2
3103,160,23,6,5
3104,160,35,5,6
3105,160,21,8,3
3106,160,41,1,10
3107,160,25,0,13
3108,160,48,0,18
3109,160,2,0,19
3110,160,49,4,8
3111,160,15,3,9
3112,160,18,1,11
3113,160,50,0,14
3114,160,37,0,16
3115,160,60,0,20
3116,160,57,6,4
3117,160,14,4,7
3118,160,63,1,12
3119,160,56,0,15
3120,160,64,0,17
3121,160,65,0,21
3122,161,30,34,1
3123,161,22,9,4
3124,161,23,9,5
3125,161,35,5,7
3126,161,21,8,6
3127,161,41,1,12
3128,161,25,0,13
3129,161,48,0,17
3130,161,2,0,19
3131,161,49,4,8
3132,161,15,4,9
3133,161,18,3,10
3134,161,50,0,15
3135,161,37,0,18
3136,161,60,0,21
3137,161,57,12,3
3138,161,14,14,2
3139,161,63,1,11
3140,161,56,0,14
3141,161,64,0,16
3142,161,65,0,20
3143,161,55,0,22
3144,162,30,36,1
3145,162,22,13,4
3146,162,23,12,5
3147,162,35,5,8
3148,162,21,8,6
3149,162,41,1,12
3150,162,25,0,13
3151,162,48,0,17
3152,162,2,0,19
3153,162,49,5,7
3154,162,15,4,9
