result_ID,race_ID,driver_ID,constructor_ID,q1_time,q2_time,q3_time,starting_position,race_position,points,total_laps,total_time,total_time_ms,fastest_lap,status
1,1,1,1,01:26.5,,,18,20,0,58,2.914,5658698,01:29.0,Disqualified
2,1,2,2,01:25.8,01:25.5,,9,10,0,58,7.085,5662869,01:28.3,Finished
3,1,3,3,01:25.8,01:25.1,01:27.0,5,6,3,58,5.722,5661506,01:27.7,Finished
4,1,4,4,01:26.0,01:25.6,,10,5,4,58,4.879,5660663,01:28.7,Finished
5,1,5,1,01:26.2,01:25.7,,12,19,0,0,,,,Collision
6,1,6,3,01:26.1,01:25.6,,11,18,0,17,,,01:29.9,Accident
7,1,7,5,01:27.0,,,17,8,1,58,6.298,5662082,01:29.8,Finished
8,1,8,6,01:25.9,01:25.4,01:27.2,7,15,0,55,,,01:28.5,Differential
9,1,9,2,01:25.9,01:25.2,01:26.9,4,14,0,55,,,01:28.0,Collision
10,1,10,7,01:25.5,01:25.3,01:27.0,19,4,5,58,4.435,5660219,01:28.4,Finished
11,1,12,4,01:26.6,,,14,17,0,24,,,01:30.5,Spun off
12,1,13,6,01:25.8,01:25.3,01:27.0,6,16,0,45,,,01:29.1,Suspension
13,1,15,7,01:26.2,01:25.3,01:27.1,20,3,6,58,1.604,5657388,01:28.9,Finished
14,1,16,10,01:26.7,,,16,9,0,58,6.335,5662119,01:28.9,Finished
15,1,17,9,01:25.4,01:25.2,01:27.2,8,12,0,57,,,01:28.5,+1 Lap
16,1,18,23,01:25.2,01:24.9,01:26.2,1,1,10,58,34:15.8,5655784,01:28.0,Finished
17,1,20,9,01:25.9,01:25.1,01:26.8,3,13,0,56,,,01:28.1,Collision
18,1,21,10,01:26.7,,,15,11,0,58,7.374,5663158,01:29.0,Finished
19,1,22,23,01:25.0,01:24.8,01:26.5,2,2,8,58,0.807,5656591,01:29.1,Finished
20,1,67,5,01:26.5,,,13,7,2,58,6.004,5661788,01:29.2,Finished
21,2,1,1,01:35.3,01:34.9,,12,7,1,31,60.733,3391355,01:39.1,Finished
22,2,2,2,01:35.1,01:34.8,,10,2,4,31,22.722,3353344,01:39.1,Finished
23,2,3,3,01:35.1,01:34.5,01:35.7,4,8,0,31,71.576,3402198,01:37.6,Finished
24,2,4,4,01:35.3,01:34.7,01:37.7,9,11,0,31,109.422,3440044,01:39.0,+1 Lap
25,2,5,1,01:35.0,01:34.9,,14,20,0,0,,,,Spun off
26,2,6,3,01:35.3,01:34.8,,11,12,0,31,116.13,3446752,01:39.4,+1 Lap
27,2,7,5,01:35.5,01:35.4,,15,10,0,31,102.164,3432786,01:39.2,Finished
28,2,8,6,01:35.5,01:34.5,01:36.2,7,14,0,31,142.841,3473463,01:38.5,+1 Lap
29,2,9,2,01:35.2,01:34.6,01:36.1,6,19,0,1,,,,Engine
30,2,10,7,01:34.9,01:34.3,01:35.7,3,3,3,31,23.513,3354135,01:39.4,Finished
31,2,12,4,01:35.7,,,17,13,0,31,116.713,3447335,01:39.3,+1 Lap
32,2,13,6,01:35.6,,,16,9,0,31,76.932,3407554,01:39.3,Finished
33,2,15,7,01:34.7,01:34.0,01:35.3,2,4,2,31,46.173,3376795,01:37.6,Finished
34,2,16,10,01:36.0,,,19,17,0,30,,,01:39.5,+1 Lap
35,2,17,9,01:35.0,01:34.2,01:35.8,5,6,2,31,52.333,3382955,01:37.7,Finished
36,2,18,23,01:35.1,01:33.8,01:35.2,1,1,5,31,55:30.6,3330622,01:36.6,Finished
37,2,20,9,01:34.9,01:34.3,01:35.5,13,15,0,30,,,01:38.4,Spun off
38,2,21,10,01:35.9,,,18,18,0,29,,,01:39.4,Spun off
39,2,22,23,01:34.7,01:34.4,01:35.7,8,5,2,31,47.36,3377982,01:37.5,Finished
40,2,67,5,01:36.1,,,20,16,0,30,,,01:38.9,Spun off
41,3,1,1,01:35.8,01:35.7,01:38.6,9,6,3,56,71.866,7135351,01:54.7,Finished
42,3,2,2,01:36.5,01:36.0,,11,12,0,56,95.834,7159319,01:54.2,Finished
