year,races,distinct_winners,distinct_podium_finishers,winner_share,podium_share,top_constructor_win_share
1950,7,3,12,0.4286,1.7143,0.8571
1951,8,6,12,0.75,1.5,0.625
1952,8,3,12,0.375,1.5,0.875
1953,9,5,12,0.5556,1.3333,0.7778
1954,9,4,15,0.4444,1.6667,0.4444
1955,7,4,16,0.5714,2.2857,0.7143
1956,8,5,14,0.625,1.75,0.75
1957,8,4,14,0.5,1.75,0.5
1958,11,6,15,0.5455,1.3636,0.5455
1959,9,6,12,0.6667,1.3333,0.5556
1960,10,5,16,0.5,1.6,0.6
1961,8,5,10,0.625,1.25,0.625
1962,9,4,10,0.4444,1.1111,0.4444
1963,10,3,8,0.3,0.8,0.7
1964,10,5,11,0.5,1.1,0.3
1965,10,4,10,0.4,1.0,0.6
1966,9,5,10,0.5556,1.1111,0.4444
1967,11,6,10,0.5455,0.9091,0.3636
1968,12,7,17,0.5833,1.4167,0.4167
1969,11,5,12,0.4545,1.0909,0.5455
1970,13,7,15,0.5385,1.1538,0.4615
1971,11,6,13,0.5455,1.1818,0.6364
1972,12,5,11,0.4167,0.9167,0.4167
1973,15,5,12,0.3333,0.8,0.4667
1974,15,7,14,0.4667,0.9333,0.2667
1975,14,9,13,0.6429,0.9286,0.4286
1976,16,7,12,0.4375,0.75,0.375
1977,17,8,14,0.4706,0.8235,0.2941
1978,16,6,13,0.375,0.8125,0.5
1979,15,7,13,0.4667,0.8667,0.4
1980,14,7,11,0.5,0.7857,0.4286
1981,15,7,11,0.4667,0.7333,0.2667
1982,16,11,18,0.6875,1.125,0.25
1983,15,8,13,0.5333,0.8667,0.2667
1984,16,5,13,0.3125,0.8125,0.75
1985,16,8,13,0.5,0.8125,0.375
1986,16,5,9,0.3125,0.5625,0.5625
1987,16,5,11,0.3125,0.6875,0.5625
1988,16,3,10,0.1875,0.625,0.9375
1989,16,6,13,0.375,0.8125,0.625
1990,16,6,12,0.375,0.75,0.375
1991,16,5,9,0.3125,0.5625,0.5
1992,16,5,7,0.3125,0.4375,0.625
1993,16,4,11,0.25,0.6875,0.625
1994,16,4,14,0.25,0.875,0.5
1995,17,5,13,0.2941,0.7647,0.6471
1996,16,4,10,0.25,0.625,0.75
1997,17,6,15,0.3529,0.8824,0.4706
1998,16,4,10,0.25,0.625,0.5625
1999,16,6,11,0.375,0.6875,0.4375
2000,17,4,7,0.2353,0.4118,0.5882
2001,17,5,10,0.2941,0.5882,0.5294
2002,17,4,7,0.2353,0.4118,0.8824
2003,16,8,10,0.5,0.625,0.5
2004,18,5,9,0.2778,0.5,0.8333
2005,19,5,13,0.2632,0.6842,0.5263
2006,18,5,12,0.2778,0.6667,0.5
2007,17,4,8,0.2353,0.4706,0.5294
2008,18,7,14,0.3889,0.7778,0.4444
2009,17,6,13,0.3529,0.7647,0.4706
2010,19,5,8,0.2632,0.4211,0.4737
2011,19,5,7,0.2632,0.3684,0.6316
2012,20,8,13,0.4,0.65,0.35
2013,19,5,8,0.2632,0.4211,0.6842
2014,19,3,10,0.1579,0.5263,0.8421
2015,19,3,10,0.1579,0.5263,0.8421
2016,21,4,9,0.1905,0.4286,0.9048
2017,20,5,7,0.25,0.35,0.6
2018,21,5,7,0.2381,0.3333,0.5238
2019,21,5,8,0.2381,0.381,0.7143
2020,17,5,13,0.2941,0.7647,0.7647
2021,22,6,13,0.2727,0.5909,0.5
2022,22,5,7,0.2273,0.3182,0.7727
2023,22,3,11,0.1364,0.5,0.9545
2024,24,7,10,0.2917,0.4167,0.375
2025,24,4,9,0.1667,0.375,0.5833
2026,3,2,5,0.6667,1.6667,1.0
