race_ID,constructor_ID,year,round,circuit_name,constructor_name,entries,points,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,is_miami,is_mclaren,is_2026_current_form
1,1,2009,1,Australian Grand Prix,McLaren,2,0.0,15.0,19.5,-4.5,0,0.0,2,1.0,0,0,0,1,0
1,2,2009,1,Australian Grand Prix,BMW Sauber,2,0.0,6.5,12.0,-5.5,1,0.5,1,0.5,0,0,0,0,0
1,3,2009,1,Australian Grand Prix,Williams,2,3.0,8.0,12.0,-4.0,1,0.5,1,0.5,0,0,0,0,0
1,4,2009,1,Australian Grand Prix,Renault,2,4.0,12.0,11.0,1.0,0,0.0,1,0.5,0,0,0,0,0
1,5,2009,1,Australian Grand Prix,Toro Rosso,2,3.0,15.0,7.5,7.5,0,0.0,0,0.0,0,0,0,0,0
1,6,2009,1,Australian Grand Prix,Ferrari,2,0.0,6.5,15.5,-9.0,2,1.0,2,1.0,0,0,0,0,0
1,7,2009,1,Australian Grand Prix,Toyota,2,11.0,19.5,3.5,16.0,2,1.0,0,0.0,1,0,0,0,0
1,10,2009,1,Australian Grand Prix,Force India,2,0.0,15.5,10.0,5.5,0,0.0,0,0.0,0,0,0,0,0
1,9,2009,1,Australian Grand Prix,Red Bull,2,0.0,5.5,12.5,-7.0,2,1.0,1,0.5,0,0,0,0,0
1,23,2009,1,Australian Grand Prix,Brawn,2,18.0,1.5,1.5,0.0,2,1.0,0,0.0,2,1,0,0,0
2,1,2009,2,Malaysian Grand Prix,McLaren,2,1.0,13.0,13.5,-0.5,0,0.0,1,0.5,0,0,0,1,0
2,2,2009,2,Malaysian Grand Prix,BMW Sauber,2,4.0,8.0,10.5,-2.5,1,0.5,1,0.5,1,0,0,0,0
2,3,2009,2,Malaysian Grand Prix,Williams,2,0.0,7.5,10.0,-2.5,1,0.5,0,0.0,0,0,0,0,0
2,4,2009,2,Malaysian Grand Prix,Renault,2,0.0,13.0,12.0,1.0,1,0.5,0,0.0,0,0,0,0,0
2,5,2009,2,Malaysian Grand Prix,Toro Rosso,2,0.0,17.5,13.0,4.5,0,0.0,1,0.5,0,0,0,0,0
2,6,2009,2,Malaysian Grand Prix,Ferrari,2,0.0,11.5,11.5,0.0,1,0.5,0,0.0,0,0,0,0,0
2,7,2009,2,Malaysian Grand Prix,Toyota,2,5.0,2.5,3.5,-1.0,2,1.0,0,0.0,1,0,0,0,0
2,10,2009,2,Malaysian Grand Prix,Force India,2,0.0,18.5,17.5,1.0,0,0.0,1,0.5,0,0,0,0,0
2,9,2009,2,Malaysian Grand Prix,Red Bull,2,2.0,9.0,10.5,-1.5,2,1.0,1,0.5,0,0,0,0,0
2,23,2009,2,Malaysian Grand Prix,Brawn,2,7.0,4.5,3.0,1.5,2,1.0,0,0.0,1,1,0,0,0
