year,constructor_ID,constructor_name,entries,races,points,points_per_race,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,final_constructor_position,final_constructor_points,is_mclaren
2009,1,McLaren,34,17,71.0,4.1765,10.0882,10.4118,-0.3235,15,0.4412,9,0.2647,5,2,3,71,1
2009,2,BMW Sauber,34,17,36.0,2.1176,11.3529,11.0882,0.2647,13,0.3824,6,0.1765,2,0,6,36,0
2009,3,Williams,34,17,34.0,2.0,10.1176,10.9706,-0.8529,18,0.5294,6,0.1765,0,0,7,34,0
2009,4,Renault,34,17,26.0,1.5294,11.8824,12.4118,-0.5294,13,0.3824,7,0.2059,1,0,8,26,0
2009,5,Toro Rosso,34,17,8.0,0.4706,15.4118,14.9118,0.5,3,0.0882,14,0.4118,0,0,10,8,0
2009,6,Ferrari,34,17,70.0,4.1176,9.7353,9.7941,-0.0588,20,0.5882,6,0.1765,6,1,4,70,0
2009,7,Toyota,34,17,59.0,3.4706,10.3824,9.5588,0.8235,18,0.5294,5,0.1471,5,0,5,60,0
2009,10,Force India,34,17,13.0,0.7647,14.7647,13.9412,0.8235,6,0.1765,8,0.2353,1,0,9,13,0
2009,9,Red Bull,34,17,154.0,9.0588,5.5588,7.0294,-1.4706,31,0.9118,7,0.2059,16,6,2,154,0
2009,23,Brawn,34,17,172.0,10.1176,5.1176,4.8824,0.2353,30,0.8824,2,0.0588,15,8,1,172,0
2008,1,McLaren,36,18,151.0,8.3889,4.1389,6.5556,-2.4167,35,0.9722,5,0.1389,13,6,2,151,1
2008,2,BMW Sauber,36,18,135.0,7.5,7.4167,6.0556,1.3611,27,0.75,2,0.0556,11,1,3,135,0
2008,3,Williams,36,18,26.0,1.4444,13.5833,11.7778,1.8056,8,0.2222,4,0.1111,2,0,8,26,0
2008,4,Renault,36,18,80.0,4.4444,10.1667,10.25,-0.0833,18,0.5,12,0.3333,4,2,4,80,0
2008,5,Toro Rosso,36,18,39.0,2.1667,12.3333,12.8611,-0.5278,15,0.4167,11,0.3056,1,1,6,39,0
2008,6,Ferrari,36,18,172.0,9.5556,3.6667,6.5278,-2.8611,34,0.9444,8,0.2222,19,8,1,172,0
2008,7,Toyota,36,18,56.0,3.1111,9.3333,9.9722,-0.6389,22,0.6111,7,0.1944,2,0,5,56,0
2008,8,Super Aguri,8,4,0.0,0.0,20.75,15.625,5.125,0,0.0,3,0.375,0,0,11,0,0
2008,9,Red Bull,36,18,29.0,1.6111,11.0,11.6111,-0.6111,15,0.4167,8,0.2222,1,0,7,29,0
2008,10,Force India,36,18,0.0,0.0,18.75,16.8889,1.8611,0,0.0,18,0.5,0,0,10,0,0
2008,11,Honda,36,18,14.0,0.7778,14.7778,13.8056,0.9722,2,0.0556,9,0.25,1,0,9,14,0
2007,1,McLaren,34,17,218.0,12.8235,2.8824,3.9706,-1.0882,33,0.9706,2,0.0588,24,8,11,218,1
2007,2,BMW Sauber,34,17,101.0,5.9412,6.1471,7.7353,-1.5882,34,1.0,6,0.1765,2,0,2,101,0
2007,3,Williams,34,17,33.0,1.9412,12.6765,11.6765,1.0,11,0.3235,8,0.2353,1,0,4,33,0
2007,4,Renault,34,17,51.0,3.0,10.7647,9.5,1.2647,18,0.5294,5,0.1471,1,0,3,51,0
2007,6,Ferrari,34,17,204.0,12.0,3.8824,4.9706,-1.0882,31,0.9118,4,0.1176,22,9,1,204,0
2007,8,Super Aguri,34,17,4.0,0.2353,16.6471,15.0,1.6471,1,0.0294,10,0.2941,0,0,9,4,0
2007,9,Red Bull,34,17,24.0,1.4118,11.2059,13.4412,-2.2353,15,0.4412,14,0.4118,1,0,5,24,0
2007,7,Toyota,34,17,13.0,0.7647,10.7647,13.0294,-2.2647,20,0.5882,10,0.2941,0,0,6,13,0
2007,12,Spyker,34,17,1.0,0.0588,20.8529,17.3824,3.4706,0,0.0,16,0.4706,0,0,10,1,0
2007,11,Honda,34,17,6.0,0.3529,14.4706,13.2941,1.1765,5,0.1471,9,0.2647,0,0,8,6,0
2007,5,Toro Rosso,34,17,8.0,0.4706,16.2059,16.5,-0.2941,1,0.0294,19,0.5588,0,0,7,8,0
2006,2,BMW Sauber,36,18,36.0,2.0,10.8056,10.8611,-0.0556,19,0.5278,9,0.25,2,0,5,36,0
2006,3,Williams,36,18,11.0,0.6111,12.1111,15.0278,-2.9167,13,0.3611,20,0.5556,0,0,8,11,0
2006,4,Renault,36,18,206.0,11.4444,4.9444,4.9167,0.0278,33,0.9167,4,0.1111,19,8,1,206,0
2006,1,McLaren,36,18,110.0,6.1111,6.8889,9.5,-2.6111,29,0.8056,13,0.3611,9,0,3,110,1
2006,8,Super Aguri,36,18,0.0,0.0,20.1389,17.25,2.8889,0,0.0,19,0.5278,0,0,11,0,0
2006,6,Ferrari,36,18,201.0,11.1667,6.0556,5.25,0.8056,28,0.7778,5,0.1389,19,9,2,201,0
2006,9,Red Bull,36,18,16.0,0.8889,13.7778,13.2778,0.5,6,0.1667,13,0.3611,1,0,7,16,0
2006,7,Toyota,36,18,35.0,1.9444,10.1944,11.9444,-1.75,20,0.5556,13,0.3611,1,0,6,35,0
2006,11,Honda,36,18,86.0,4.7778,7.6944,8.7778,-1.0833,28,0.7778,7,0.1944,3,1,4,86,0
2006,5,Toro Rosso,36,18,1.0,0.0556,15.8056,13.6389,2.1667,0,0.0,10,0.2778,0,0,9,1,0
2006,13,MF1,28,14,0.0,0.0,17.7857,15.75,2.0357,0,0.0,12,0.4286,0,0,10,0,0
2006,14,Spyker MF1,8,4,0.0,0.0,19.125,17.125,2.0,0,0.0,3,0.375,0,0,12,0,0
2005,3,Williams,38,19,66.0,3.4737,9.3158,11.0263,-1.7105,0,0.0,13,0.3421,4,0,5,66,0
2005,4,Renault,38,19,191.0,10.0526,4.8421,6.1316,-1.2895,0,0.0,8,0.2105,18,8,1,191,0
2005,1,McLaren,38,19,182.0,9.5789,6.6053,6.8421,-0.2368,0,0.0,11,0.2895,18,10,2,182,1
2005,16,BAR,34,17,38.0,2.2353,8.5,11.5294,-3.0294,0,0.0,13,0.3824,2,0,6,38,0
2005,15,Sauber,38,19,20.0,1.0526,12.1842,11.2632,0.9211,0,0.0,9,0.2368,0,0,8,20,0
2005,9,Red Bull,38,19,34.0,1.7895,11.2105,11.4737,-0.2632,0,0.0,11,0.2895,0,0,7,34,0
2005,7,Toyota,38,19,88.0,4.6316,7.4474,8.2368,-0.7895,0,0.0,6,0.1579,5,0,4,88,0
2005,6,Ferrari,38,19,100.0,5.2632,9.3684,8.5,0.8684,0,0.0,8,0.2105,9,1,3,100,0
2005,18,Minardi,38,19,7.0,0.3684,17.4474,15.2895,2.1579,0,0.0,15,0.3947,0,0,10,7,0
2005,17,Jordan,38,19,12.0,0.6316,16.9211,13.8684,3.0526,0,0.0,6,0.1579,1,0,9,12,0
